Rank,Traditional,Simplified,Pinyin,Meaning
2210,巴黎,巴黎,bālí,"City of Light, French capital, capital of France, Paris"
2211,反省,反省,fǎnxǐng,"introspect, self-questioning"
2212,主角,主角,zhǔjiǎo,"leading role, title_role, star, protagonist, lead, principal, title role, name part"
2213,理事長,理事长,lǐshìzhǎng,"presiding officer, chairman_of_the_board, chairman of the board, council chairperson"
2214,背後,背后,bèihòu,"rear, in the rear, behind, rearward, at the back, backside, back end"
2215,龐大,庞大,pángdà,"huge, immense"
2216,反省,反省,fǎnxǐng,"introspect, self-questioning"
2217,犧牲,牺牲,xīshēng,"sacrifice oneself, die martyr's death, do sth. at the expense of self or sb. else"
2218,天,天,tiān,"God, Heaven, nature, weather, season"
2219,蠻,蛮,mán,"pretty, very, quite, more or less, pretty much, fairly, rather, somewhat, to some extent"
2220,以便,以便,yǐbiàn,"conj.: so that, in order to, with the aim of"
2221,犧牲,牺牲,xīshēng,"sacrifice oneself, die martyr's death, do sth. at the expense of self or sb. else"
2222,預防,预防,yūfáng,"prevent, guard against"
2223,爭,争,zhēng,"be short of, disagree, argue, duel, arguement, compete, vie, dispute, contest, fence, be wanting, contend, debate, disputation, strive"
2224,種類,种类,zhǒnglèi,"kidney, description, race, form, nature, manner, variety, feather, ordering, ilk, style, class, order, stamp, type, genus, category, stripe, kind, strain, cast, shape, denomination, species, persuasion, league, classification, breed, sort"
2225,預防,预防,yūfáng,"prevent, guard against"
2226,就業,就业,jiùyè,get or take up a job
2227,本土,本土,běntǔ,"mainland, native, one's native country, metropolitan territory, continent"
2228,天氣,天气,tiānqì,"sky, elements, weather condition, atmospheric condition, weather"
2229,夫妻,夫妻,fūqī,"couple, spouse, pair, man and wife, husband and wife"
2230,左,左,zuǒ,"left side, east, the Left"
2231,優點,优点,yōudiǎn,"strong, merit, vantage, excellency, perfection, assets, beaut, advantage, excellence, upside, strong_point, good point, virtue, desert, desirability, strong point, long_suit, beauty, strong/good point, desirableness"
2232,嗯哼,嗯哼,ēnhēng,well
2233,就業,就业,jiùyè,get or take up a job
2234,事物,事物,shìwù,"proposition, pigeon, object, thing, affair, un"
2235,困境,困境,kùnjìng,"hell, soup, muddle, hell on earth, kettle of fish, embarrassment, mess, straits, stymie, hot potato, jam, hole, swamp, howdo-you-do, dilemma, spot, inferno, corner, difficult position, adversity, scrape, lurch, the pits, mire, box, fix, hot_potato, hardship, squeeze, pickle, dire straits, extremity, bind, puzzledom, morass, difficulty, quagmire, predicament"
2236,呼籲,呼籲,hūyū,appeal to
2237,呼籲,呼籲,hūyū,appeal to
2238,據說,据说,jùshuō,"they say, it is said, it is said that..., reputedly, allegedly"
2239,人事,人事,rénshì,"personnel, ways of the world, what is humanly possible, human affairs, occurrences in human life, consciousness of the outside world, personnel matters"
2240,大學生,大学生,dàxuéshēng,"man, university/college student, college man, university student, colleger, university, undergrad, undergraduate, college boy, college student, collegian, university_student, undergraduate student, geeks"
2241,洗,洗,xǐ,"wash, bathe, sack, develop (film), shuffle (cards/etc.)"
2242,農村,农村,nóngcūn,"country, village, countryside, rural area"
2243,數學,数学,shùxué,mathematics
2244,女士,女士,nǔshì,"senorita, lady, Ms., mum, Senora, educated girl, educated woman, madonna, madam, Miss, woman, ma'am, Madame, madame, gentlewoman, senhorita, dame, mademoiselle"
2245,風氣,风气,fēngqì,"mores, ethos, order_of_the_day, climate, established practice, genius, genius loci, atmosphere, tone, general mood, common practice, fashion"
2246,必然,必然,bìrán,"surely, inevitably, pardi, certainly"
2247,難得,难得,nándé,"hard to come by, rare, seldom"
2248,樂器,乐器,yuèqì,"chime, axe, musical instrument, instrument"
2249,果然,果然,guǒrán,"really, as expected, sure enough"
2250,安非他命,安非他命,ānfēitāmìng,"amphetamine sulphate, amphetamine, pep pill, pep bill, speed, benny, upper"
2251,床,床,chuáng,bed
2252,局,局,jú,m.[event]
2253,指,指,zhǐ,point at/to/out
2254,戲,戏,xì,"drama, play, show"
2255,除非,除非,chúfēi,"conj.: only if/when, unless"
2256,訂,订,dìng,"subscribe to, agree on, revise, draw up, staple together, book (seats), conclude, order, book, subscribe, make corrections"
2257,研究員,研究员,yánjiùyuán,"fellowship, research worker, investigator, boffin, researcher, research_worker, research fellow"
2258,唉,唉,āi,"mild exclamation/sigh, Gosh!, My!"
2259,著手,着手,zhuóshǒu,"put hand to, initiatory, begin, set to, set_out, institute, proceed, start up, turn_to, fall, spring-clean, embark, go_about, undertake, accede to, enter upon, get to work, set about, commence, enter, put one's hand to, start"
2260,熱烈,热烈,rèliè,ardent
2261,按,按,àn,"press, push down"
2262,能源,能源,néngyuán,"energy sources, energy, juice, power sources, energy resources, the sources of energy, sources of energy"
2263,其餘,其余,qíyū,"etceteras, det.: others, remainder, the rest"
2264,找出,找出,zhǎochū,"rout out, find, unearth, rout up, rout, quest, observe, notice, grub, seek_out, dig_out, seek out, discover, find_out, root_out, spy, spot, detect, smoke out"
2265,影片,影片,yǐngpiàn,"celluloid, movie_film, flick, production, film, pic, movie"
2266,白色,白色,báisè,"White, white, whiteness, White (as symbol of anticommunism), white (color)"
2267,可以,可以,kěyǐ,"passable, pretty good, not bad"
2268,等待,等待,děngdài,"wait for, await"
2269,創作,创作,chuàngzuò,"create, produce, write"
2270,等待,等待,děngdài,"wait for, await"
2271,年度,年度,niándù,(school/etc.) year
2272,慢,慢,màn,"tardy, rude, slow down, slow, slow up, retard, lose, defer, supercilious, postpone, decelerate"
2273,缺點,缺点,quēdiǎn,"privilege, bug, failing, flaw, demerit, blemish, debit, limitation, mar, defect, glitch, foible, infirmity, blot, vice, drawback, disadvantage, imperfection, blemishment, weakness, tache, defection, shortcoming, malady, frailty, fault"
2274,接近,接近,jiējìn,"approach, near, be close to"
2275,數據,数据,shùjù,data
2276,缺,缺,quē,"be short of, lack"
2277,中,中,zhōng,[aspect]
2278,條例,条例,tiáolì,"rules, regulation, enactment, regulations, ordonnance, ordinance, statute, act, prescription, ordinances"
2279,藥,药,yào,"healer, medicine, certain chemicals, drug, medicament, medicinal drug, aspirin, medication, remedy, physic"
2280,報告,报告,bàogào,"report, make known"
2281,身邊,身边,shēnbiān,"nearby, side, at hand"
2282,改為,改为,gǎiwéi,"change ... into, change to"
2283,指標,指标,zhǐbiāo,"directive, characteristic, guideline, quota, index, norm, indication, fingerboard, indicant, loadstar, guiding principle, target, needle, fingerpost, pointer, indicator"
2284,沿,沿,yán,along
2285,設定,设定,shèdìng,"frame, time"
2286,眼光,眼光,yǎnguāng,"brainstorm, eye, penetration, view, brainwave, way of looking at things, foresight, discernment, insight, vision, judgment, sight, taste"
2287,設定,设定,shèdìng,"frame, time"
2288,聰明,聪明,cōngmíng,"intelligent, bright, clever"
2289,聰明,聪明,cōngmíng,"intelligent, bright, clever"
2290,下列,下列,xiàliè,"listed below, following"
2291,打電話,打电话,dǎdiànhuà,make telephone call
2292,舉,举,jǔ,"lift, raise, hold up, cite, propose"
2293,醫學院,医学院,yīxuéyuàn,"faculty of medicine, medical school, school of medicine"
2294,參考,参考,cānkǎo,reference
2295,大自然,大自然,dàzìrán,"wild, earth, nature, natural state, state of nature"
2296,騎,骑,qí,"ride/sit astride, ride astride, override, get_onto, sit on the back of, sit, stride, ride_on, ride, mount, pedal, sit astride, bestraddle"
2297,人際,人际,rénjì,human relation
2298,漢人,汉人,hànrén,"Han, Han people, people of Han Dynasty, Han person/people, Han person, people, the Hans, the Han people, Han ethnic group"
2299,剩下,剩下,shèngxià,"be left over, leave, be left (over), be left, remain"
2300,傳播,传播,chuánbò,"disseminate, propagate, spread"
2301,自從,自从,zìcóng,since
2302,傳播,传播,chuánbò,"disseminate, propagate, spread"
2303,冠軍,冠军,guànjūn,champion
2304,學會,学会,xuéhuì,"learned society, (scholarly) association"
2305,海洋,海洋,hǎiyáng,"briny, profound, main, deep, sea, oceanic, Neptune, brine, nautical, ocean, seas and oceans"
2306,彷彿,彷彿,fǎngfú,"seem, be like"
2307,東京,东京,dōngjīng,"Japanese capital, Tokio, Tokyo, Yeddo, Tongking, Yedo, capital of Japan, Edo, Tonkin"
2308,負擔,负担,fùdān,"burden, load, encumbrance"
2309,知名,知名,zhīmíng,"noted, famous"
2310,那兒,那儿,nǎēr,that place
2311,爭議,争议,zhēngyì,"controvert, controversy, dispute, disputation"
2312,實質,实质,shízhí,"quintessence, substantial, essence, meat, parenchyma, kernel, substantiality, measure, being, quiddity, solidity, substance, matter"
2313,查詢,查询,cháxún,inquire into/about
2314,查詢,查询,cháxún,inquire into/about
2315,校務,校务,xiàowù,administrative affairs of school/college
2316,部隊,部队,bùduì,"military personnel, troops, troop, regular army, soldiery, army, party, company"
2317,火車,火车,huǒchē,"choo-choo, railroad train, car train, marshalling_yard, puff-puff, train"
2318,幼稚園,幼稚园,yòuzhìyuán,"nursery school, preschool, infant_school, kindergarten"
2319,話題,话题,huàtí,"talking_point, theme, gambit, subject of a talk, ground, talk, talking point, topic, chapter, topic of conversation"
2320,感謝,感谢,gǎnxiè,"thank, be grateful"
2321,感謝,感谢,gǎnxiè,"thank, be grateful"
2322,獎金,奖金,jiǎngjīn,"pewter, gainings, money award, gratuity, bounty, stakes, subsidy, prix, premium, incentive, prize money, perquisite, purse, winnings, stake, prize, bonus, gratification"
2323,大師,大师,dàshī,"great master, lord, workmaster, artiste, Very Reverend, overlord, master, priest, maestro, non-Christian priest, Great Master"
2324,聯絡,联络,liánluò,contact
2325,聯絡,联络,liánluò,contact
2326,原始,原始,yuánshǐ,"original, firsthand, primeval, primitive"
2327,北市,北市,běishì,capital of Republic of China on Taiwan
2328,課題,课题,kètí,"task, problem, question for study, subject, topic, question for discussion, discussion, topical, question for study/discussion"
2329,路線,路线,lùxiàn,"track, path, cart track, way of life, itinerary, route, cartroad, course, road, channel, line, way, routeway, pipeline, curriculum"
2330,信仰,信仰,xìnyǎng,belief
2331,英雄,英雄,yīngxióng,hero
2332,契約,契约,qìyuē,"legal instrument, charter, bond, bargain, covenant, legal document, compact, stipulation, agreement, instrument, bargaining, pact, obligation, clause, paction, booking, affiance, indenture, promise, article, contract, concordat, official document, deed, handfast"
2333,訂定,订定,dìngdìng,"provide, prescribe"
2334,批評,批评,pīpíng,criticize
2335,法院,法院,fǎyuàn,"judicature, (law) court, judicatory, bar, courthouse, law court, court, tribunal, judiciary, banc, court of justice, jug, banco, forensic"
2336,訂定,订定,dìngdìng,"provide, prescribe"
2337,愛情,爱情,àiqíng,"god, warmheartedness, affection, love_affair, heart, kindness, tenderness, bosom, love, fondness, romantic love, affectionateness"
2338,依據,依据,yījù,"according to, on the basis of, judging by"
2339,適用,适用,shìyòng,"applicable, lend oneself, apply, be applicable, suit"
2340,學位,学位,xuéwèi,"academic_degree, degree, academic degree"
2341,水庫,水库,shuǐkù,reservoir
2342,千,千,qiān,det.: thousand
2343,民主,民主,mínzhǔ,democratic
2344,贊成,赞成,zànchéng,"endorsement, agree with, stand, assent, favor, cotton, uphold, subscribe, support, see, clear, approve, agree, sympathize, second, approve of, jibe, assist, indorse, optional, plump_for, favour, endorse"
2345,好奇,好奇,hàoqí,"curious, full of curiosity"
2346,好奇,好奇,hàoqí,"curious, full of curiosity"
2347,科威特,科威特,kēwēitè,"Koweit, Kuwait, capital of Kuwait"
2348,體會,体会,tǐhuì,"know/learn from experience, realize"
2349,體會,体会,tǐhuì,"know/learn from experience, realize"
2350,熊貓,熊猫,xióngmāo,"lesser panda, panda bear, binturong, giant panda, Ailurus fulgens, coon bear, Ailuropoda melanoleuca, red panda, panda, bear cat, cat bear, Arctictis bintourong, bearcat"
2351,暫時,暂时,zhànshí,temporarily
2352,萬,万,wàn,"det.: ten thousand, myriad, multitudinous"
2353,較為,较为,jiàowéi,"fairly, kind of, rather, sort of, comparatively, kinda, a little, relatively"
2354,單純,单纯,dānchún,"simple, pure, plain, artless"
2355,透露,透露,tòulù,"expose, disclose, divulge, develop, impart, unrip, confide, sound, fall, disembosom, get around, reveal, let_on, disclosure, let on, leakage, divulgence, get out, discover, let out, leak, declare, break, give away, bring out"
2356,品牌,品牌,pǐnpái,"brand, make, trademark"
2357,候選人,候选人,hòuxuǎnrén,"aspirant, nominee, campaigner, candidate, candidate (for election)"
2358,單純,单纯,dānchún,"simple, pure, plain, artless"
2359,看來,看来,kànlái,"it looks as if, it appears, it seems, it look as if"
2360,內涵,内涵,nèihán,"intension, comprehension, intention, connotation"
2361,登記,登记,dēngjì,"register, check in"
2362,登記,登记,dēngjì,"register, check in"
2363,棵,棵,kē,"head, tuft, m.[general],"
2364,會長,会长,huìzhǎng,president (of club/society/etc.)
2365,核心,核心,héxīn,"nub, nucleus, meat, heart, core group, substance, center, core, the center, crux, essence, root, kernel, nitty-gritty, inwardness, pith, sum, marrow, bosom, gist"
2366,家具,家具,jiājù,"household goods, movable, furnishings, furniture, home furnishings, household stuff, implement, household furnishings, fitment"
2367,座談會,座谈会,zuòtánhuì,"colloquium, symposiac, panel_discussion, an informal discussion meeting, symposium, teach-in, forum, symposia, conversazione, panel discussion"
2368,症狀,症状,zhèngzhuàng,symptom
2369,火,火,huǒ,"fire;internal heat, anger, temper;firearms, ammunition"
2370,一帶,一带,yīdài,"neighborhood, area, region, district"
2371,患者,患者,huànzhě,"patient, subject, sufferer"
2372,很少,很少,hěnshǎo,seldom
2373,有名,有名,yǒumíng,"well-known, famous"
2374,依照,依照,yīzhào,"according to, in light of"
2375,忘記,忘记,wàngjì,"misremember, block, blank out, neglect, overlook, draw a blank, leave_out, disremember, fail, forget"
2376,小型,小型,xiǎoxíng,"spyglass, miniature, small-sized, bar, small-scale, pettiness"
2377,占,占,zhàn,"constitute, make up, account for"
2378,手段,手段,shǒuduàn,"resource, recourse, vehicle, wile, stratagem, gambit, artifice, instrument, twist, road, trick, ploy, shift, resort, polity, step, instrumentation, plan of attack, communication, artillery, finesse, means, channel, approach, implement, medium, gimmick, attack, device, refuge, method, instrumentality, stepping-stone, gateway, ministry, measure, way, tactic, expedient, quomodo, machinery, t"
2379,優秀,优秀,yōuxiù,"outstanding, excellent"
2380,倒是,倒是,dàoshì,"actually, contrariwise"
2381,明星,明星,míngxīng,"headliner, lucida, (movie/etc.) star, impersonator, (movie, famous performer, stardom, Venus, star, etc.) star, movie_star"
2382,吸收,吸收,xīshōu,"absorb, suck up, assimilate, recruit"
2383,吸收,吸收,xīshōu,"absorb, suck up, assimilate, recruit"
2384,人格,人格,réngé,"lot, fibre, fiber, character, spirit, selfhood, manhood, personality"
2385,指數,指数,zhǐshù,"exponential, index, index number, index (number), indicant, exponential function, exponent, power, index_number, indicator"
2386,做好,做好,zuòhǎo,do well
2387,動態,动态,dòngtài,"situation, the movement (in a certain sphere of human activity), development, trend, dynamic state, dynamic, trends"
2388,游泳,游泳,yóuyǒng,"fin, swim, bathe"
2389,不如,不如,bùrú,be unequal/inferior to
2390,出生,出生,chūshēng,be born
2391,出生,出生,chūshēng,be born
2392,遂,遂,suì,"accordingly, therewith, and then, and so, thereupon, so, with that, then"
2393,當作,当作,dāngzuò,"regard_as, regard as, look upon as, treat as, presume"
2394,會,会,huì,"can, be able to, be good at, be skillful in"
2395,學問,学问,xuéwèn,"lear, ology, lore, knowledge, learning, acquirement, learnedness, cognition, erudition, letter, eruditeness, scholarship"
2396,嘗試,尝试,chángshì,"attempt, try"
2397,全民,全民,quánmín,"whole/entire people, all the people"
2398,部落,部落,bùluò,tribe
2399,賺,赚,zhuàn,"knock_up, garner, take in, clear, make profit, earn, gain, draw, realize, make a profit, do, bring_in, get, pull_in, make, bring in, pick_up, pull in"
2400,聯合國,联合国,liánhéguó,"alignment, United Nations, United_Nations, alliance, confederation, coalition, confederate, alinement, UN"
2401,擺,摆,bǎi,"place, put, arrange"
2402,賺錢,赚钱,zhuànqián,"profit, gain, make profit, cash in on, earn money, make money"
2403,與會,与会,yǔhuì,participate in conference
2404,鳥類,鸟类,niǎolèi,"clutch, avian, avifauna, sanctuary, birdlife, feather, Aves, birds"
2405,答應,答应,dāyìng,"agree, promise"
2406,掛,挂,guà,"hang, put up, hitch, ring up"
2407,石頭,石头,shítou,"stony, chimney, rock, lapis, stone"
2408,挫折,挫折,cuòzhé,"frustratio, rebuff, defeat, founder, frustration, reverse, breakdown, blight, setback, throwback, abortion, backset, flivver, dash, cross"
2409,飛行,飞行,fēixíng,fly
2410,飛行,飞行,fēixíng,fly
2411,行程,行程,xíngchéng,"throw, travel, tenor, itinerary, route, journey, route/distance of travel, distance of travel, stroke, route of travel"
2412,理性,理性,lǐxìng,reason
2413,夫人,夫人,fūrén,"Lady, lady, memsahib, milady, Dona, Mistress, dona, grande dame, donna, Mrs, mum, Senora, grace, senora, Mrs., madam, Frau, miladi, missus, senhora, wife, ma'am, Madame, madame, missis, Ladyship, Signora, signora"
2414,累,累,lèi,"tire, build by piling up, pile up, strain, weary, toil, accumulate, involve, tired, burthen, work hard, accumulation, fatigued, wear out"
2415,轉變,转变,zhuǎnbiàn,"change, transform"
2416,轉變,转变,zhuǎnbiàn,"change, transform"
2417,本質,本质,běnzhí,"suchness, basic nature, intrinsic quality, substantial, essentiality, innate character, entity, essential quality, basics, inbeing, essential, nature, self, feather, intrinsic, quiddity, being, substance, metal, quintessence, principle, kind, hypostasis, essence, fiber, internal, spirit, inwardness, woof, basis, gist"
2418,上班,上班,shàngbān,"start work, go to work, be on duty"
2419,興奮,兴奋,xīngfèn,excited
2420,那邊,那边,nàbiān,"beyond, that side, there"
2421,興奮,兴奋,xīngfèn,excited
2422,帶動,带动,dàidòng,"drive, spur on, bring along"
2423,急,急,jí,"rapid, fast, violent"
2424,帶動,带动,dàidòng,"drive, spur on, bring along"
2425,捷運,捷运,jiéyùn,Rapid Transit
2426,諸,诸,zhū,"various, Zhu, det.: all, Chu"
2427,廣,广,guǎng,"wide, spread, vast, expand, numerous"
2428,慶祝,庆祝,qìngzhù,"fete, celebration, keep, festive, commemorate, celebrate, observe, rejoice, felicitate"
2429,司機,司机,sījī,driver
2430,難過,难过,nánguò,"uncomfortable, feel bad, feel sorry, have hard time, bad, sad, have a hard time, be grieved, sorry"
2431,高雄市,高雄市,gāoxióngshì,Kaohsiung city (a city in Taiwan)
2432,習慣,习惯,xíguàn,be accustomed/used to
2433,出席,出席,chūxí,"attend, be present"
2434,出席,出席,chūxí,"attend, be present"
2435,外界,外界,wàijiè,"external world, external/outside world, the outside world, outside, environment, outside world, externality, external, the external world"
2436,女孩子,女孩子,nǔháizi,"babe, colleen, sissy, popsy, gal, girl"
2437,語法,语法,yǔfǎ,"phraseology, parlance, language, syntax, locution, sentence structure, grammar, expression, wording, phrasing, phrase structure, diction"
2438,頁,页,yè,"page, leaf, m.[general], ,sheet of paper, sheet, piece, piece of paper, folio"
2439,閱讀,阅读,yuèdú,"study, read, peruse"
2440,頭,头,tóu,m.[general]
2441,借,借,jiè,lend
2442,拍攝,拍摄,pāishè,"take (picture), shoot (film)"
2443,拍攝,拍摄,pāishè,"take (picture), shoot (film)"
2444,家族,家族,jiāzú,"tribe, covey, family line, race, household, menage, ilk, kinfolk, kin, clan, kinsfolk, phratry, kinship group, kindred, folk, people, kin group, sept, family"
2445,身心,身心,shēnxīn,body and mind
2446,專門,专门,zhuānmén,"special, specialized"
2447,可憐,可怜,kělián,"condole with, have pity on, sympathize with, abject, compassionate, lugubrious, feel for, pity"
2448,舞蹈,舞蹈,wǔdào,"dancing, saltation, nautch, dance, terpsichore, choreography, stage dancing"
2449,味道,味道,wèidào,"gustatory perception, gust, tang, taste perception, feeling, savor, flavor, taste sensation, savour, streak, flavour, relish, sapidity, smatch, soupcon, tincture, tasting, smell, smack, gustatory sensation, suggestion, snack, taste"
2450,個案,个案,gèàn,case (in law/etc.)
2451,事先,事先,shìxiān,"ahead, beforehand, in advance, in_advance, aforetime, aforehand"
2452,大專,大专,dàzhuān,community colleges
2453,下面,下面,xiàmiàn,"next, lower level, underside, following, underneath, subordinate, undersurface"
2454,下,下,xià,m.[activity]
2455,練習,练习,liànxí,"practice, exercise"
2456,就算,就算,jiùsuàn,"conj.: even if, granted that"
2457,南非,南非,nánfēi,South Africa
2458,表情,表情,biǎoqíng,"brow, air, countenance, glow, look, cast, visage, expression, facial expression, gesture, business, dramatics, facial gesture"
2459,耶,耶,yé,particle: used when informing sb. of st.; expressing exclamation
2460,藉著,藉着,jièzhe,depend/rely on
2461,以致,以致,yǐzhì,"conj.: so that, with the result that"
2462,自殺,自杀,zìshā,commit suicide
2463,助理,助理,zhùlǐ,"aide, adjunct, coadjutant, assistant, ancillary, auxiliary"
2464,自殺,自杀,zìshā,commit suicide
2465,洞,洞,dòng,"aperture, hole in the ground, kennel, puncture, excavation, perforation, bore, cave, howe, opening, gap, hole, orifice, scoop, hollow, cavity"
2466,測試,测试,cèshì,test
2467,臺北市,台北市,táiběishì,Taipei
2468,歐美,欧美,ōuměi,Europe and America
2469,獎勵,奖励,jiǎnglì,"reward, award"
2470,杯,杯,bēi,m.[container]
2471,體驗,体验,tǐyàn,learn through practice/experience
2472,浪費,浪费,làngfèi,"waste, squander"
2473,體驗,体验,tǐyàn,learn through practice/experience
2474,個人電腦,个人电脑,geréndiànnǎo,"personal computer, personal_computer, PC"
2475,本人,本人,běnrén,"myself, principal, in person, I, me, oneself, identity"
2476,口,口,kǒu,"opening, entrance, gate, crossing, intersection, river month"
2477,質疑,质疑,zhíyí,"call in question, challenge"
2478,質疑,质疑,zhíyí,"call in question, challenge"
2479,血液,血液,xiěyè,blood
2480,走向,走向,zǒuxiàng,"move toward, head for"
2481,形態,形态,xíngtài,"configuration, figuration, pattern, conformation, form, modality, appearance, contour, shape, morphology, morph"
2482,步驟,步骤,bùzòu,"process, instance, demarche, method, measure, approach, procedure, place, step, move"
2483,視覺,视觉,shìjué,"seeing, vision, visual sense, visual sensation, ocular, eyesight, sight, visual"
2484,正面,正面,zhèngmiàn,"right side, head, head-on, face, front, the right side, facade, obverse/right side, the obverse side, frontispiece, frontal, frontage, obverse side, obverse"
2485,收費,收费,shōufèi,"collect fees, charge"
2486,收費,收费,shōufèi,"collect fees, charge"
2487,促使,促使,cùshǐ,"incite, prod, prompt, spur, send, motive, induce, trigger, urge, bring on, cause, propel, shame, instigate, impel, actuate, motivate, bear on, push, get, move"
2488,補助,补助,bǔzhù,subsidize
2489,階層,阶层,jiēcéng,"section, circle, degree, social stratum, stratum, echelon, hierarchical, walk in life, walk_of_life, rank"
2490,期望,期望,qíwàng,"expectation, hope"
2491,實驗室,实验室,shíyànshì,"lab, science lab, laboratory"
2492,皮膚,皮肤,pífū,"leather, chap, integument, hide, cutis, complexion, brunet, cutaneous, bark, fell, derma, brunette, skin, transplant"
2493,病患,病患,bìnghuàn,"disease, illness, sickness, ailment, patient"
2494,武器,武器,wǔqì,"enginery, steel, arming, armament, weapons system, hardware, armored, armature, munition, weaponry, artillery, implements of war, armory, arms, ammunition, armor, weapon, arm, armoring"
2495,日益,日益,rìyì,increasingly
2496,大都,大都,dàdōu,"for the most part, mostly"
2497,獎,奖,jiǎng,"award, prize, reward"
2498,檢討,检讨,jiǎntǎo,"discuss thoroughly, self-criticize"
2499,螢幕,萤幕,yíngmù,"television set, silver screen, monitor, screen, projection screen, fluorescent screen"
2500,檢討,检讨,jiǎntǎo,"discuss thoroughly, self-criticize"
2501,禁止,禁止,jìnzhǐ,"estop, inhibit, bar, outlaw, banish, forbid, suppress, interdict, defend, taboo, veto, prohibit, enjoin, blackball, restrain, debar, proscribe, negative, disallow, relegate, nix, prohibition, ban"
2502,起來,起来,qǐlái,"to stand up, to rise"
2503,輔大,辅大,fǔdà,FuJen Catholic University
2504,旅客,旅客,lǔkè,"journeyer, guest, hotel guest, traveler, traffic, wayfarer, viator, rider, traveller, passer, passenger"
2505,繪畫,绘画,huìhuà,painting
2506,用,用,yòng,"use, good"
2507,用,用,yòng,"use, good"
2508,生,生,shēng,"unripe, green, raw, uncooked, unprocessed, crude, unfamiliar, strange, stiff, mechanical"
2509,腳步,脚步,jiǎobù,"footfall, tread, pace, foot, footstep, step"
2510,設計師,设计师,shèjìshī,"architect, designer, stylist"
2511,救,救,jiù,"relief, relieve, help, salve, salvage, rescue, save, succour"
2512,納入,纳入,nàrù,"take_in, bring ... into, to intake, integrate, to subsume, channel ... into, incorporate, channel into, bring into, to bring into, to fit into"
2513,南部,南部,nánbù,"meridional, the southern part of the country, southern part, South, south, the south"
2514,害,害,hài,"harm, injure, kill"
2515,計程車,计程车,jìchéngchē,"hack, taxicab, taxi, (metered) taxi, taximan, cab"
2516,光,光,guāng,"solely, merely, only"
2517,貴,贵,guì,"expensive, costly, highly valued"
2518,現代化,现代化,xiàndàihuà,modernize
2519,破,破,pò,"tear, split up, defeat, expose, eradicate, lay bare, cleave, expose the truth of, worn-out, break with, come apart, destroy, capture (city/etc.), defeat (enemy), broken, expose (lie/etc.), destruction, cut, separate, tattered, reveal truth, fall apart, beat, capture, split, not intact, rupture, get rid of, do away with, break"
2520,吹,吹,chuī,"fall through (of plans), wind, fall through, tout, play, gasconade, shoot a line, blow, break up, chuff, vaunt, boast, brag, gas, bluster, talk big, break off, toot, swash, play (wind instruments), huff, puff, land"
2521,勇氣,勇气,yǒngqì,"gameness, pluck, guts, mettle, braveness, grit, heart, moxie, courage, backbone, boldness, pride, gutsiness, nerve, pecker, courageousness, valour, spirit, spunk, gallantry, valor, virtue, audacity, bravery, pluckiness, gumption, sand, gut, valiance"
2522,現代化,现代化,xiàndàihuà,modernize
2523,氣候,气候,qìhòu,"situation, clime, climatic, climate, weather, climactic"
2524,化學,化学,huàxué,"chemical science, chymistry, stink, chemical, chemistry"
2525,巴西,巴西,bāxī,Brazil
2526,人權,人权,rénquán,human rights
2527,這麼多,这么多,zhèmeduō,det.:so much/many
2528,生涯,生涯,shēngyá,"career, pilgrimage, profession, time"
2529,文件,文件,wénjiàn,"page, documental, archive, writ, documents, data file, paper, document, judicial writ, literature, circular, documentation, portfolio, archives, file, written document, papers"
2530,簡直,简直,jiǎnzhí,"simply, really"
2531,導向,导向,dǎoxiàng,orientation
2532,儀式,仪式,yíshì,"religious rite, ceremonial occasion, deeds, practice, form, rituality, office, formality, ritual, circumstance, ceremony, formalness, exercise, powwow, observance, ceremonial, rite, works"
2533,用途,用途,yòngtú,"purpose, service, help, use, value, mileage, avail"
2534,生長,生长,shēngzhǎng,"grow, develop"
2535,舞台,舞台,wǔtái,"board, arena, bandstand, stage, proscenium, boards"
2536,逢,逢,féng,"meet, come upon"
2537,逢,逢,féng,"meet, come upon"
2538,生長,生长,shēngzhǎng,"grow, develop"
2539,義工,义工,yìgōng,volunteer
2540,科學家,科学家,kēxuéjiā,scientist
2541,業主,业主,yèzhǔ,proprietor
2542,軍隊,军队,jūnduì,"military personnel, troops, armed forces, armament, military, soldiery, force, Sabaoth, array, army troops, military unit, host, military force, cohort, battalion, legion, troop, regular army, army, armed_forces, rank"
2543,各自,各自,gèzì,"each, respective, severalty, oneself"
2544,如果說,如果说,rúguǒshuō,conj.: if
2545,案件,案件,ànjiàn,"a police case, law case, case (of law/etc.), a legal case, case"
2546,爆發,爆发,bàofā,"erupt, burst/break out"
2547,有如,有如,yǒurú,"seem, be like"
2548,各界,各界,gèjiè,"all circles, all walks of life"
2549,題目,题目,tímù,"exam questions, head, lemma, theme, thesis, examination questions, question, text, title, ground, subject, topic, exercise problems, chapter, caption, rubric, heading"
2550,街頭,街头,jiētóu,"street corner, street_corner, street (corner), street"
2551,寬,宽,kuān,"wide, broad, generous, lenient, comfortably off, well-off, relax, relieve, extend"
2552,有如,有如,yǒurú,"seem, be like"
2553,爆發,爆发,bàofā,"erupt, burst/break out"
2554,底,底,dǐ,"underside, bottom, base, end, ground"
2555,決策,决策,juécè,policy decision
2556,抱,抱,bào,"hold/carry in arms, adopt, hatch, brood"
